file,agent_type,reassurance_type,reassurance_delivery_style,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-05-27T09-05-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep2.json,nonjtc,miscalibrated,process_focused,sequence_2,1,18.0,1,4,nonjtc / miscalibrated
2026-05-27T09-05-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep2.json,nonjtc,miscalibrated,process_focused,sequence_2,2,30.0,1,4,nonjtc / miscalibrated
2026-05-27T09-05-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep2.json,nonjtc,miscalibrated,process_focused,sequence_2,3,64.0,1,4,nonjtc / miscalibrated
2026-05-27T09-05-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep2.json,nonjtc,miscalibrated,process_focused,sequence_2,4,84.0,1,4,nonjtc / miscalibrated
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1,1,18.0,1,5,nonjtc / miscalibrated
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1,2,28.0,1,5,nonjtc / miscalibrated
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1,3,40.0,1,5,nonjtc / miscalibrated
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1,4,72.0,1,5,nonjtc / miscalibrated
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1,5,86.0,1,5,nonjtc / miscalibrated
2026-05-27T08-17-32__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep5.json,jtc,calibrated,warm_supportive,sequence_2,1,58.0,1,3,jtc / calibrated
2026-05-27T08-17-32__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep5.json,jtc,calibrated,warm_supportive,sequence_2,2,64.0,1,3,jtc / calibrated
2026-05-27T08-17-32__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep5.json,jtc,calibrated,warm_supportive,sequence_2,3,83.0,1,3,jtc / calibrated
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,sequence_1,1,18.0,1,4,nonjtc / calibrated
