file,agent_type,reassurance_type,reassurance_delivery_style,condition,mean_abs_confidence_change,max_abs_confidence_jump,early_confidence_gain,accuracy
2026-05-27T08-12-37__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep1.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,17.5,29.0,-6.0,1
2026-05-27T08-12-49__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep2.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,15.0,24.0,-6.0,1
2026-05-27T08-12-56__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep3.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-13-05__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep4.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,14.0,20.0,8.0,1
2026-05-27T08-13-13__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep5.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,28.0,30.0,30.0,1
2026-05-27T08-13-21__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep6.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,13.0,20.0,6.0,1
2026-05-27T08-13-31__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep7.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,15.0,24.0,-6.0,1
2026-05-27T08-13-39__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep8.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,19.0,32.0,-6.0,1
2026-05-27T08-13-48__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep9.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,19.0,32.0,-6.0,1
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,14.666666666666666,24.0,-6.0,1
2026-05-27T08-14-06__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep1.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-14-14__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep2.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-14-23__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep3.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,13.333333333333334,18.0,-6.0,1
2026-05-27T08-14-33__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep4.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,15.666666666666666,26.0,-10.0,1
2026-05-27T08-14-43__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep5.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,12.666666666666666,16.0,-6.0,1
2026-05-27T08-14-54__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep6.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,12.666666666666666,16.0,-6.0,1
2026-05-27T08-15-05__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep7.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,14.0,24.0,-6.0,1
2026-05-27T08-15-13__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep8.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,11.5,19.0,4.0,1
2026-05-27T08-15-21__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep9.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-15-28__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep10.json,jtc,calibrated,brief_naturalistic,jtc / calibrated,10.0,16.0,4.0,1
2026-05-27T08-15-37__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep1.json,jtc,calibrated,warm_supportive,jtc / calibrated,14.0,18.0,10.0,1
2026-05-27T08-15-45__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep2.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.5,18.0,9.0,1
2026-05-27T08-15-53__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep3.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,14.0,12.0,1
2026-05-27T08-16-01__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep4.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,21.0,5.0,1
2026-05-27T08-16-08__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep5.json,jtc,calibrated,warm_supportive,jtc / calibrated,14.0,22.0,6.0,1
2026-05-27T08-16-16__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep6.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,22.0,4.0,1
2026-05-27T08-16-24__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep7.json,jtc,calibrated,warm_supportive,jtc / calibrated,14.0,14.0,14.0,1
2026-05-27T08-16-31__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep8.json,jtc,calibrated,warm_supportive,jtc / calibrated,15.0,16.0,14.0,1
2026-05-27T08-16-40__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep9.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.5,18.0,9.0,1
2026-05-27T08-16-48__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep10.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,17.0,9.0,1
2026-05-27T08-16-58__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep1.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,16.0,10.0,1
2026-05-27T08-17-06__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep2.json,jtc,calibrated,warm_supportive,jtc / calibrated,12.0,19.0,5.0,1
2026-05-27T08-17-14__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep3.json,jtc,calibrated,warm_supportive,jtc / calibrated,12.0,18.0,6.0,0
2026-05-27T08-17-23__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep4.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,18.0,8.0,1
2026-05-27T08-17-32__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep5.json,jtc,calibrated,warm_supportive,jtc / calibrated,12.5,19.0,6.0,1
2026-05-27T08-17-40__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep6.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,18.0,8.0,0
2026-05-27T08-17-51__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep7.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,16.0,10.0,0
2026-05-27T08-17-59__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep8.json,jtc,calibrated,warm_supportive,jtc / calibrated,12.0,18.0,6.0,1
2026-05-27T08-18-09__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep10.json,jtc,calibrated,warm_supportive,jtc / calibrated,13.0,16.0,10.0,1
2026-05-27T08-18-18__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep1.json,jtc,calibrated,process_focused,jtc / calibrated,14.0,24.0,4.0,1
2026-05-27T08-18-27__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep2.json,jtc,calibrated,process_focused,jtc / calibrated,13.0,23.0,3.0,1
