file,agent_type,reassurance_type,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc,miscalibrated,sequence_1,2,30.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc,miscalibrated,sequence_1,4,86.0,1,4,nonjtc / miscalibrated
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,jtc,miscalibrated,sequence_2,1,58.0,0,2,jtc / miscalibrated
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,jtc,miscalibrated,sequence_2,2,84.0,0,2,jtc / miscalibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc,calibrated,sequence_2,1,52.0,1,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc,calibrated,sequence_2,2,58.0,1,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc,calibrated,sequence_2,3,68.0,1,4,nonjtc / calibrated
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc,calibrated,sequence_2,4,84.0,1,4,nonjtc / calibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc,miscalibrated,sequence_1,1,18.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc,miscalibrated,sequence_1,2,32.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc,miscalibrated,sequence_1,3,58.0,1,4,nonjtc / miscalibrated
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc,miscalibrated,sequence_1,4,84.0,1,4,nonjtc / miscalibrated
